,serial_number,countries,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_permn,total_deaths_permn,total_tests,total_tests_permillion,total_pop
192,185,Equatorial Guinea,"17,229",,183,,"16,907",,139,5,"11,512",122,"365,697","244,342"
193,186,Monaco,"16,975",,67,,"15,992",,916,4,"426,690","1,684","78,646","1,976,875"
194,187,Tonga,"16,825",,13,,"15,638",,"1,174",,"156,150",121,"535,009","4,965,327"
195,188,Samoa,"16,778",,31,,"1,605",,"15,142",,"82,961",153,"187,397","926,612"
196,189,Marshall Islands,"16,133",,17,,"16,109",,7,,"268,628",283,,
130,123,Jamaica,"156,469",,"3,664",,"103,191",,"49,614",,"52,417","1,227","1,183,986","396,633"
197,190,Dominica,"15,760",,74,,"15,673",,13,,"217,848","1,023","229,344","3,170,187"
198,191,Djibouti,"15,690",,189,,"15,427",,74,,"15,441",186,"305,941","301,094"
199,192,CAR,"15,368",,113,,"15,200",,55,2,"3,063",23,"81,294","16,205"
4,,Oceania,"14,663,404",,"30,503",,"14,528,465",,"104,436",49,,,,
131,124,Cambodia,"138,941",,"3,056",,"135,885",,0,,"8,093",178,"3,091,420","180,062"
132,125,Rwanda,"133,194",,"1,468",,"131,647",,79,,"9,793",108,"6,021,981","442,778"
19,12,Spain,"13,914,811",,"121,760",,"13,762,417",,"30,634",231,"297,840","2,606","471,036,328","10,082,298"
0,,North America,"128,533,170",,"1,648,370",,"124,157,795",+763,"2,727,005","6,710",,,,
133,126,Cameroon,"125,090",,"1,974",,"122,807",,309,13,"4,482",71,"1,751,774","62,762"
134,127,Malta,"120,512",,862,,"119,089",,561,,"271,403","1,941","2,153,207","4,849,205"
5,,Africa,"12,838,449",,"258,830",,"12,088,351",,"491,268",547,,,,
200,193,Gambia,"12,626",,372,,"12,189",,65,,"4,935",145,"155,686","60,851"
201,194,Saint Martin,"12,324",,63,,"1,399",,"10,862",7,"310,194","1,586","112,382","2,828,643"
202,195,Vanuatu,"12,019",,14,,"11,976",,29,,"37,346",44,"24,976","77,606"
203,196,Greenland,"11,971",,21,,"2,761",,"9,189",4,"210,117",369,"164,926","2,894,810"
204,197,Yemen,"11,945",,"2,159",,"9,124",,662,23,383,69,"329,592","10,579"
20,13,Australia,"11,774,220",,"22,798",,"11,745,992",,"5,430",21,"451,660",875,"81,916,639","3,142,326"
205,198,Caribbean Netherlands,"11,682",,38,,"10,476",,"1,168",,"438,398","1,426","30,126","1,130,559"
21,14,Vietnam,"11,623,774",+27,"43,206",,"10,640,844",+16,"939,724",2,"117,467",437,"85,826,548","867,342"
206,199,Sint Maarten,"11,051",,92,,"10,905",,54,N/A,"251,353","2,093","62,056","1,411,454"
135,128,Barbados,"109,503",,620,,"108,647",,236,,"380,188","2,153","801,451","2,782,594"
8,1,USA,"108,769,335",,"1,177,856",,"106,561,862",,"1,029,617","1,544","324,873","3,518","1,186,248,894","3,543,101"
136,129,Angola,"105,384",,"1,934",,"103,419",,31,,"3,009",55,"1,499,795","42,818"
137,130,Channel Islands,"101,717",,228,,"101,321",,168,,"576,421","1,292","1,252,808","7,099,551"
22,15,Taiwan,"10,241,523",,"19,005",,"10,222,518",,0,,"428,720",796,"30,742,304","1,286,903"
207,200,Eritrea,"10,189",,103,,"10,086",,0,,"2,782",28,"23,693","6,470"
23,16,Argentina,"10,070,247",,"130,608",,"9,939,639",,0,363,"218,870","2,839","35,716,069","776,264"
236,229,Western Sahara,10,,1,,9,,0,,16,2,,
230,223,Falkland Islands,"1,930",,,,"1,930",,0,,"545,352",,"8,632","2,439,107"
56,49,Slovakia,"1,867,647",,"21,167",,"1,846,254",,226,3,"342,048","3,877","7,440,585","1,362,696"
57,50,Georgia,"1,855,289",,"17,132",,"1,776,548",,"61,609",,"467,476","4,317","16,920,079","4,263,340"
58,51,Jordan,"1,746,997",,"14,122",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945"
59,52,Ireland,"1,721,152",,"9,249",,"1,709,044",,"2,859",19,"342,845","1,842","13,083,449","2,606,161"
60,53,Pakistan,"1,581,867",,"30,664",,"1,538,689",,"12,514",,"6,893",134,"30,589,153","133,292"
61,54,Norway,"1,488,692",,"5,667",,"1,482,587",,438,20,"270,113","1,028","11,002,430","1,996,315"
62,55,Finland,"1,486,084",,"10,265",,"1,474,681",+47,"1,138",21,"267,524","1,848","12,108,977","2,179,850"
63,56,Kazakhstan,"1,411,831",,"13,848",,"1,383,020",,"14,963",24,"73,514",721,"11,575,012","602,707"
231,224,Montserrat,"1,403",,8,,"1,376",,19,,"282,578","1,611","17,762","3,577,442"
64,57,Slovenia,"1,345,398",+45,"7,100",,"1,337,079",,"1,219",8,"647,438","3,417","2,847,701","1,370,382"
65,58,Lithuania,"1,330,702",+291,"9,710",,"1,315,724",+335,"5,268",,"499,943","3,648","10,496,080","3,943,363"
66,59,Bulgaria,"1,315,163",,"38,470",,"1,273,218",,"3,475",26,"192,146","5,620","11,370,513","1,661,239"
67,60,Guatemala,"1,277,918",,"20,264",,"1,257,078",,576,5,"68,764","1,090","7,593,848","408,622"
68,61,Morocco,"1,276,635",,"16,297",,"1,256,151",,"4,187",3,"33,798",431,"13,001,033","344,191"
69,62,Croatia,"1,275,559",,"18,358",,"1,256,843",,358,,"314,232","4,522","5,639,419","1,389,264"
70,63,Lebanon,"1,243,838",,"10,952",,"1,087,587",,"145,299",74,"186,068","1,638","4,795,578","717,380"
71,64,Costa Rica,"1,238,883",,"9,428",,"860,711",,"368,744",52,"239,058","1,819","4,659,757","899,158"
72,65,Bolivia,"1,207,206",,"22,399",,"1,177,145",,"7,662",220,"100,662","1,868","2,710,261","225,993"
73,66,Tunisia,"1,153,361",,"29,423",,N/A,N/A,N/A,44,"95,741","2,442","5,013,383","416,164"
74,67,Cuba,"1,115,131",,"8,530",,"1,106,537",,64,2,"98,635",754,"14,345,940","1,268,918"
75,68,Ecuador,"1,069,114",,"36,042",,"1,033,072",,0,759,"59,024","1,990","3,082,403","170,173"
76,69,UAE,"1,067,030",,"2,349",,"1,054,525",,"10,156",,"105,837",233,"200,732,262","19,910,389"
77,70,Panama,"1,048,429",,"8,661",,"1,039,693",,75,16,"235,763","1,948","7,811,039","1,756,488"
78,71,Uruguay,"1,038,774",,"7,634",,"1,030,944",,196,18,"297,131","2,184","6,114,822","1,749,083"
79,72,Mongolia,"1,010,975",,"2,179",,"1,008,796",,0,192,"299,275",645,"4,030,048","1,193,000"
80,73,Nepal,"1,003,438",,"12,031",,"991,322",,85,,"33,198",398,"6,047,766","200,088"
